SECTION_ID,WEEKDAY_NAME,BLOCK_NAME,ROOM
092000-20,Friday,Period 6 (US),US Classroom 301
092000-30,Monday,Period 10 (US),US Classroom 406
092000-30,Tuesday,Period 2 (US),US Classroom 604
092000-30,Wednesday,Period 2 (US),US Classroom 704 Computer
092000-30,Thursday,Period 7 (US),US Classroom 506
092000-35,Monday,Period 10 (US),US Classroom 501
092000-35,Tuesday,Period 2 (US),US Classroom 501
092000-35,Wednesday,Period 2 (US),US Classroom 501
092000-35,Thursday,Period 7 (US),US Classroom 501
092000-40,Monday,Period 1 (US),US Classroom 604
092000-40,Tuesday,Period 4 (US),US Classroom 604
092000-40,Wednesday,Period 1 (US),US Classroom 604
092000-40,Thursday,Period 10 (US),US Classroom 604
093032-20,Monday,Period 7 (US),US Classroom 507
093032-20,Tuesday,Period 7 (US),US Classroom 507
093032-20,Wednesday,Period 6 (US),US Classroom 507
093034-30,Monday,Period 10 (US),US Classroom 507
093034-30,Tuesday,Period 2 (US),US Classroom 507
093034-30,Wednesday,Period 2 (US),US Classroom 507
093041-20,Monday,Period 7 (US),US Classroom 506
093041-20,Tuesday,Period 7 (US),US Classroom 506
093041-20,Wednesday,Period 6 (US),US Classroom 506
093042-20,Tuesday,Period 7 (US),US Classroom 306
093042-20,Wednesday,Period 6 (US),US Classroom 306
093042-20,Friday,Period 6 (US),US Classroom 306
093044-10,Monday,Period 4 (US),US Classroom 306
093044-10,Thursday,Period 8 (US),US Classroom 306
093044-10,Friday,Period 3 (US),US Classroom 306
093044-15,Monday,Period 4 (US),US Classroom 305
093044-15,Tuesday,Period 1 (US),US SC-Seminar
093044-15,Thursday,Period 8 (US),US SC-Seminar
093044-30,Monday,Period 10 (US),US Classroom 306
093044-30,Wednesday,Period 2 (US),US Classroom 506
093044-30,Thursday,Period 7 (US),US SC-Seminar
093044-40,Monday,Period 1 (US),US Classroom 301
093044-40,Wednesday,Period 1 (US),US Classroom 506
093044-40,Thursday,Period 10 (US),US Classroom 501
094010-10,Monday,Period 9 (US),US SC-Seminar
094010-10,Tuesday,Period 6 (US),US SC-Seminar
094010-10,Wednesday,Period 3 (US),US Classroom 304
094010-10,Thursday,Period 9 (US),US Classroom 304
094011-10,Monday,Period 9 (US),US Classroom 603 Math
094011-10,Tuesday,Period 6 (US),US Classroom 603 Math
094011-10,Wednesday,Period 3 (US),US Classroom 603 Math
094011-10,Thursday,Period 9 (US),US Classroom 603 Math
094011-20,Tuesday,Period 3 (US),US Classroom 603 Math
094011-20,Wednesday,Period 7 (US),US Classroom 603 Math
094011-20,Thursday,Period 3 (US),US Classroom 603 Math
094011-20,Friday,Period 4 (US),US Classroom 603 Math
094012-10,Monday,Period 9 (US),US Classroom 606 Math
094012-10,Tuesday,Period 6 (US),US Classroom 606 Math
094012-10,Wednesday,Period 3 (US),US Classroom 606 Math
094012-10,Thursday,Period 9 (US),US Classroom 606 Math
094012-20,Tuesday,Period 3 (US),US Classroom 303 Math
094012-20,Wednesday,Period 7 (US),US Classroom 606 Math
094012-20,Thursday,Period 3 (US),US Classroom 606 Math
094012-20,Friday,Period 4 (US),US Classroom 606 Math
094013-10,Monday,Period 9 (US),US Classroom 602
094013-10,Tuesday,Period 6 (US),US Classroom 302
094013-10,Wednesday,Period 3 (US),US Classroom 302
094013-10,Thursday,Period 9 (US),US SC-Seminar
094014-20,Tuesday,Period 3 (US),US Classroom 604
094014-20,Wednesday,Period 7 (US),US Classroom 406
