SCHOOL ID,ID,FULL_NAME
Upper,126963,Bereishit Revisited 12
Upper,096001,Honors Biblical Studies 9
Upper,096002,Accelerated Biblical Studies 9
Upper,096411,Advanced Biblical Studies 9
Upper,096413,Biblical Studies 9
Upper,106001,Honors Biblical Studies 10
Upper,106002,Accelerated Biblical Studies 10
Upper,106411,Advanced Biblical Studies 10
Upper,106413,Biblical Studies 10
Upper,116001,Honors Biblical Studies 11
Upper,116002,Accelerated Biblical Studies 11
Upper,116416,Advanced Tanakh 11
Upper,116417,Tanakh 11
Upper,096414,Tanakh - Mechina 9
Upper,IADV11,Israel Advisory 11
Upper,IADV,Israel Advisory
Upper,MINCHA,Mincha
Upper,810000,Lunch 10
Upper,811000,Lunch 11
Upper,812000,Lunch 12
Upper,890000,Lunch 9
Upper,900000,Tefilla Sefarad
Upper,909000,Tefilla 9
Upper,910110,Tefilla 10
Upper,911000,Tefilla 11
Upper,912000,Tefilla 12
